tytul,cena,cena_za_metr,powierzchnia_dom,powierzchnia_dzialka,pietra,rynek,ilosc_sypialni,rok_budowy,typ,warunki,okna
Wszędzie blisko! Solidny dom w granicy Poznania !,410000.0,5694.44,72.0,283.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
Dom Wyjątkowo Atrakcyjna OFERTA w Poznaniu,1049000.0,3278.13,320.0,621.0,1 piętro,wtórny,9, 2009 , bliźniak, do zamieszkania, plastikowe
Piękna nieruchomość na placówkę renomowanej firmy.,2850000.0,5700.0,500.0,1000.0,3 piętra i więcej,wtórny,10, 2009 , wolnostojący, do zamieszkania, plastikowe
Piękna willa w stylu nowojorskim na Sołaczu.,2850000.0,5700.0,500.0,1000.0,3 piętra i więcej,wtórny,9, 2009 , wolnostojący, do zamieszkania, plastikowe
"Dom, 750 m², Poznań",7500000.0,10000.0,750.0,275.0,3 piętra i więcej,wtórny,9, 2009 , kamienica, do zamieszkania, plastikowe
Dom na sprzedaż.,525000.0,2982.95,176.0,400.0,1 piętro,wtórny,4, 2002 , bliźniak, do zamieszkania, plastikowe
Prezent? Dom dla Rodziny! 15 minut od Poznania,435000.0,3968.98,109.6,266.0,2 piętra,pierwotny,5, 2017 , szeregowiec, do wykończenia, plastikowe
Wolnostojący Dom Na Grunwaldzie,715000.0,4468.75,160.0,664.0,parterowy,wtórny,5, 2017 , bliźniak, do zamieszkania, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
"Dom Poznań Junikowo, ul. Przepiórcza",699000.0,4957.45,141.0,573.0,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe
Luksusowy dom z basenem Poznań Szczepankowo,1300000.0,2000.0,650.0,3600.0,1 piętro,wtórny,10, 2000 , wolnostojący, do zamieszkania, plastikowe
Dom parterowy z pięknym ogrodem /ZOBACZ FILM,1090000.0,3838.03,284.0,5400.0,parterowy,wtórny,5, 2008 , wolnostojący, do zamieszkania, plastikowe
* Komfortowy dom * niezależne biuro * duży garaż *,750000.0,3000.0,250.0,222.0,1 piętro,wtórny,6, 1997 , szeregowiec, do zamieszkania, drewniane
"Dom, 200 m², Poznań",650000.0,3250.0,200.0,630.0,n/a,wtórny,4, 1980 , bliźniak, do zamieszkania, plastikowe
"Dom, 140 m², Poznań",680000.0,4857.14,140.0,1164.0,1 piętro,wtórny,5, 1929 , wolnostojący, do remontu, plastikowe
Dom Pod Inwestycję W Doskonałej Lokalizacji.,730000.0,3318.18,220.0,327.0,1 piętro,wtórny,9, 1929 , bliźniak, do zamieszkania, plastikowe
Kamienica na ul. Wronieckiej,2700000.0,3068.88,879.8,402.0,3 piętra i więcej,wtórny,10, 1929 , kamienica, do remontu, plastikowe
"Dom, 70 m², Poznań",379000.0,5414.29,70.0,800.0,1 piętro,wtórny,2, 1929 , wolnostojący, do zamieszkania, plastikowe
"Dom wolnostojący na Starym Grunwaldzie,Promienista",1050000.0,2946.95,356.3,801.0,2 piętra,wtórny,10, 1960 , wolnostojący, do remontu, plastikowe
Śliczny dom w granicy Poznania - Wszędzie BLISKO !,362000.0,5027.78,72.0,150.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Dom 215 m2, Poznań, Świerczewo, Leszczyńska",645000.0,3000.0,215.0,610.0,1 piętro,wtórny,4, 2018 , wolnostojący, do zamieszkania, plastikowe
"Piękny, przestronny dom, w idealnym stanie!",860000.0,5890.41,146.0,368.0,n/a,wtórny,5, 2007 , wolnostojący, do zamieszkania, plastikowe
"Dom, 282 m², Poznań",1150000.0,4078.01,282.0,2040.0,3 piętra i więcej,wtórny,6, 2007 , wolnostojący, do zamieszkania, plastikowe
Nowoczesny Dom z garażem w Poznaniu,609000.0,4477.94,136.0,350.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
"Dom, 130 m², Poznań",609000.0,4684.62,130.0,400.0,1 piętro,wtórny,4, 2017 , bliźniak, do wykończenia, plastikowe
"Dom, 130 m², Poznań",609000.0,4684.62,130.0,400.0,1 piętro,wtórny,4, 2017 , bliźniak, do wykończenia, plastikowe
Poznań Górczyn podział na lokale inwestycja !,698999.4,3883.33,180.0,500.0,2 piętra,wtórny,6, 1980 , bliźniak, do zamieszkania, plastikowe
Działka ROD z domem całorocznym,149000.0,2980.0,50.0,400.0,1 piętro,wtórny,3, 2009 , wolnostojący, do zamieszkania, plastikowe
Dom wolnostojący,350000.0,2333.33,150.0,1250.0,n/a,wtórny,5, 2009 , wolnostojący, do zamieszkania, plastikowe
Komfortowy Wolnostojący Dom Poznań Przeźmierowo,1099000.0,3996.36,275.0,1275.0,1 piętro,wtórny,7, 1998 , wolnostojący, do zamieszkania, plastikowe
